age,salaire,score_credit,montant_transaction,anciennete_compte,type_carte,region,genre,fraude
49.54889404138071,183659.04578435957,48.2285786546242,9649455.81898502,14.0,Mastercard,Houston,femelle,0.0
44.95266535510408,329732.599158123,67.57309700360759,25000.0,7.8,Mastercard,Houston,femelle,0.0
41.65991038281746,75000.0,77.55948667850828,2724004.395371683,9.0,Visa,Houston,male,0.0
42.377280190465775,75000.0,54.28221964572267,4755632.036666362,9.0,Mastercard,Orlando,femelle,0.0
48.125023071955766,359999.48294154095,71.14854574228272,25000.0,8.0,Mastercard,Orlando,femelle,0.0
34.90494088848834,397644.8518169162,49.93038302853597,7176256.481473299,11.0,Visa,Miami,male,0.0
39.231994706129136,428573.7582634933,53.6356246517432,11531961.143126665,10.0,Visa,Orlando,femelle,1.0
47.84919772456283,245523.6661900776,19.71171875203759,4595029.316068816,7.0,Visa,Houston,male,0.0
36.53889986933177,380458.3828271364,23.3510043800359,25000.0,6.0,Mastercard,Houston,male,0.0
45.67679583506853,215836.6303528504,99.0,1514746.0994707667,9.0,Mastercard,Houston,male,0.0
44.18659026182871,230620.0550529932,41.75159860300186,5899384.622489492,12.0,Visa,Miami,male,0.0
26.78205858117208,292086.73379988514,83.71403508069943,8850063.731864616,1.0,Visa,Houston,male,0.0
29.07041329864866,458193.09427309775,45.8567662181192,25000.0,11.0,Mastercard,Orlando,femelle,0.0
31.55110744650331,524056.4638508301,42.19181627156733,3990365.236372667,3.0,Visa,Miami,femelle,0.0
37.587789633845226,134332.22582175056,75.4206019886228,1866000.4081062707,9.0,Visa,Orlando,male,0.0
52.342454190157454,326351.0568737669,41.2803873906402,1497497.5283578564,6.0,Visa,Orlando,femelle,0.0
38.62803519689409,209866.9236219281,74.45615844266817,7608717.555960263,16.0,Visa,Houston,femelle,0.0
42.65897866579188,269787.01498845394,68.98592996750631,1322323.2096801624,14.0,Visa,Orlando,male,0.0
56.43611911523808,389863.4638895714,38.05442128307504,6391169.172671343,23.0,Visa,Houston,femelle,0.0
38.84106595883125,472423.1046015553,56.72150825010693,3367176.7012263853,10.0,Visa,Miami,femelle,0.0
40.15996388965135,174619.46165725414,41.46800727427926,10667847.362750756,11.0,Visa,Houston,femelle,0.0
43.378598379599,320973.2037777316,36.04916115049771,8776658.617228465,7.0,Mastercard,Miami,male,0.0
38.82815463417471,343822.3263178198,41.55008209135132,4941408.8315986935,9.0,Visa,Orlando,femelle,0.0
60.0,75000.0,41.774791390330336,1345471.7995780432,5.0,Visa,Houston,femelle,0.0
